"red","orange","yellow","green","blue","brown","year"
1,2,3,3,4,7,2015
3,0,2,4,4,2,2015
3,3,0,1,5,2,2015
3,3,0,3,5,4,2015
5,1,2,3,4,0,2015
4,5,2,0,5,1,2015
4,3,2,2,2,0,2015
0,3,2,3,1,6,2015
4,3,2,2,1,2,2015
2,1,2,2,7,1,2015
1,2,1,5,5,3,2015
2,2,2,2,6,2,2015
3,4,2,2,2,2,2015
2,2,1,5,6,2,2015
1,3,2,3,2,1,2015
3,1,4,3,3,2,2015
3,2,2,1,2,4,2015
1,2,3,2,3,4,2015
0,0,2,4,7,4,2015
2,1,4,5,3,1,2015
1,2,2,4,6,0,2015
3,0,1,0,9,0,2015
3,3,1,4,4,0,2015
1,3,1,2,6,1,2015
2,2,3,3,3,3,2015
2,1,0,4,4,2,2015
3,4,2,3,4,3,2015
4,3,3,3,5,1,2015
4,1,3,3,4,3,2015
3,3,2,4,5,2,2015
4,1,3,3,4,3,2015
1,3,5,2,3,2,2015
3,3,2,4,5,2,2015
1,5,1,3,5,2,2015
0,5,3,4,2,5,2015
1,3,5,2,3,2,2015
1,4,5,3,3,3,2015
2,4,2,0,5,3,2015
4,3,0,4,3,2,2015
4,4,1,1,3,4,2015
4,7,1,4,5,1,2015
4,7,1,4,5,1,2015
2,2,0,3,7,2,2015
3,2,0,1,5,5,2015
3,3,3,3,6,1,2015
3,1,2,3,6,1,2015
2,2,0,3,7,2,2015
1,4,4,1,3,5,2015
1,3,3,3,4,3,2015
0,7,2,2,5,3,2015
1,3,1,5,3,1,2015
2,3,0,2,4,7,2015
2,2,3,3,3,3,2015
2,2,2,4,6,2,2015
3,2,3,0,2,5,2015
4,3,2,2,5,4,2015
4,7,2,3,2,2,2015
4,4,2,4,4,3,2015
1,3,4,3,3,5,2015
1,1,2,3,9,2,2015
4,1,2,3,4,4,2015
2,4,1,3,4,3,2015
3,3,1,1,6,4,2015
4,2,2,6,5,1,2015
3,2,3,2,5,1,2015
3,3,3,2,5,1,2015
3,5,1,4,5,1,2015
3,3,1,4,3,3,2015
6,1,1,3,5,2,2015
3,2,3,5,5,2,2015
3,3,2,3,4,4,2015
1,1,1,4,8,4,2015
1,5,1,2,3,2,2015
3,2,3,2,3,3,2015
2,1,1,4,7,3,2015
4,2,0,2,5,4,2015
